index,original_file,processed_file,mse_gray,psnr_gray_db,mean_abs_diff_gray,edge_var_original,edge_var_processed
165,6019.png,processed_64a5b32543fd4de5bc7c1f0339a32fa7.jpg,4842.2334,11.28,44.8964,115.8443,203.2636
166,6049.png,processed_64b6dc1e07f846ef8ffd64052d29caf4.jpg,6561.0381,9.961,55.038,133.9988,62.6087
167,6153.png,processed_65f2899bda6144eea1d4d3caf7602bb9.jpg,10802.8672,7.795,71.7804,557.3641,840.8886
168,6332.png,processed_677b32c125ca4668bbf7db5d47507556.jpg,9378.7764,8.409,63.2479,215.2351,169.461
169,7047.png,processed_67febda5a3004e34810dcbf98ca5e195.jpg,5969.8442,10.371,45.4623,197.7585,265.5909
170,7156.png,processed_68f96b38ab644f73b7792670cde77747.jpg,3991.9707,12.119,41.4665,276.1617,124.3287
171,7298.png,processed_696b510ffba1461d893d8828c3e22238.jpg,11252.3984,7.618,82.7332,113.7946,216.3282
172,7431.png,processed_6adf8041c98e4c999b1a90075cb4c18f.jpg,12321.6133,7.224,86.2432,221.9234,78.8212
173,7509.png,processed_6b45b30eabf14f8ab4b9411a5f601e1b.jpg,6134.0103,10.253,48.0792,125.0545,192.9088
174,7559.png,processed_6b59d10b48cc413cbade04b663b8f58c.jpg,9507.2207,8.35,59.9997,212.0924,190.4585
175,7822.png,processed_6b8d7b904011444a802b13d0e18a6547.jpg,8045.1021,9.075,55.6223,159.6093,421.8074
176,7969.png,processed_6c8e7a58124a4a7494ba0704346c7449.jpg,6572.2983,9.954,55.5445,69.5468,232.4662
177,8013.png,processed_6ed325b429df40479d6bdfa8332391b4.jpg,6404.6821,10.066,46.2772,216.9887,212.6951
178,8061.png,processed_6ee862c0531746acba36e95f975e4463.jpg,6578.2212,9.95,52.3126,88.286,431.0808
179,8189.png,processed_6f15d746d03742a19c2eebbfb1e13415.jpg,9479.9355,8.363,59.4994,58.8433,101.461
180,8282.png,processed_6f2f782bb44f4d4aad3088bb15e3ef26.jpg,8117.9629,9.036,55.0338,296.4742,236.359
181,8499.png,processed_6f67dfa4ef9a4f7cbd89ce76e4578c97.jpg,9073.5127,8.553,62.2702,105.5455,391.4535
182,8700.png,processed_6f79f4b58cc54bf48bb5ced22aadec87.jpg,7003.3081,9.678,58.8788,97.379,88.2765
183,8809.png,processed_70b6259f119e46a9bffda38b43d9f5e9.jpg,7250.2461,9.527,57.3586,94.0536,223.3564
184,8848.png,processed_720abf3db6fd43529fd87469193f0b36.jpg,10534.7246,7.905,68.2702,112.6002,252.0932
185,8939.png,processed_72912d5b3faa4781b5470f3b83ac6096.jpg,5748.5498,10.535,42.1334,216.575,209.6869
186,8963.png,processed_72c115c19b2e4ad29dca4b5d7e8b688b.jpg,11422.0039,7.553,71.9213,97.185,257.4026
187,9005.png,processed_7306c07828344a67ba1e838a98539cdc.jpg,3805.3584,12.327,36.3246,81.4954,29.7184
188,9082.png,processed_733ab92c63b242a49f2c471cd678eaac.jpg,7175.6812,9.572,66.69,87.8788,478.5268
189,9141.png,processed_73d83246525d461ebe8fba5807408ff3.jpg,2255.5432,14.598,24.7358,58.6634,65.5671
190,9278.png,processed_75b302822c3744149686de63102a64b5.jpg,8559.832,8.806,67.9691,251.3055,360.1404
191,9316.png,processed_75c4ef74b68043dfadcd23a55e284266.jpg,6369.1089,10.09,48.595,227.89,266.4484
192,9439.png,processed_760587630fb94d00a603fecef84f2ed6.jpg,9474.5391,8.365,67.9211,203.4854,203.162
193,9470.png,processed_76607445cf384fad89d6dc2f9c5adc84.jpg,8285.3447,8.948,55.8346,137.3739,248.7456
194,9541.png,processed_76fbff3eb58b4df4a258f3e95603958c.jpg,2788.6421,13.677,31.131,166.3595,28.8545
195,9560.png,processed_787d95fcc4ea451480a6487088a18ff0.jpg,8507.2344,8.833,60.5126,136.6154,191.5857
196,9583.png,processed_790371a4437341dc85be73f6ff48b76c.jpg,6939.3701,9.718,50.1375,140.5441,159.0113
197,9654.png,processed_7988fee89b2f4907a3ce8c06185d844d.jpg,12482.6064,7.168,72.6447,123.3025,179.0067
198,9744.png,processed_7a07262da503478abd6a03b6683eb39d.jpg,8007.6797,9.096,59.1282,135.5379,142.9321
199,9869.png,processed_7aa5c6a01b5d45a19a2688bc5a9e9d8e.jpg,9382.5557,8.408,59.0484,250.3494,133.4428
200,9933.png,processed_7b79d384fab842689115e200b0e461ee.jpg,5660.0591,10.603,44.421,82.424,249.0672
